Module,Type,Kind
Dose Response,clobValue,dose response analysis result html
Dose Response,numericValue,rSquared
Dose Response,numericValue,SST
Dose Response,numericValue,SSE
Dose Response,clobValue,reportedValuesClob
Dose Response,clobValue,parameterStdErrorsClob
Dose Response,clobValue,fitSettings
Dose Response,clobValue,fitSummaryClob
Dose Response,codeValue,flag status
Dose Response,codeValue,flag observation
Dose Response,codeValue,flag reason
Dose Response,stringValue,flag comment
Dose Response,codeValue,user flag status
Dose Response,codeValue,user flag observation
Dose Response,codeValue,user flag reason
Dose Response,clobValue,model fit result html
Dose Response,codeValue,protocol status
Dose Response,codeValue,experiment status
Dose Response,stringValue,Slope
Dose Response,stringValue,EC50
Dose Response,stringValue,Max
Dose Response,stringValue,Min
Dose Response,codeValue,algorithm flag reason
Dose Response,codeValue,algorithm flag observation
Dose Response,codeValue,algorithm flag status
Dose Response,codeValue,preprocess flag reason
Dose Response,codeValue,preprocess flag observation
Dose Response,codeValue,preprocess flag status
Dose Response,numericValue,Ki
Dose Response,stringValue,Ki
Dose Response,numericValue,Fitted Ki
Dose Response,numericValue,Kd
Dose Response,numericValue,Ligand Conc
